premiseID,capacitykW,installDate,manufacturer,model,azimuth,tilt,rateClass,dateInstalled,premiseRateCode,maxAC,efficiency
93652,6.6,3/22/2019 0:00,SolarEdge,SE7600H-US,270,23,E100,3/22/2019,E140,8.35,97.5
93657,3.05,3/7/2018 0:00,Fronius,Galvo 3.1-1,170,27,E100,3/7/2018,E140,3.1,95.4
94320,3.05,1/22/2019 0:00,Fronius,Galvo 3.1-1,180,34,E100,1/22/2019,E140,3.1,95.4
94324,3.05,1/22/2019 0:00,Fronius,Galvo 3.1-1,180,34,E100,1/22/2019,E140,3.1,95.4
94651,3.9,10/26/2018 0:00,Enphase,IQ7-60-2-INT,106,18,E100,10/26/2018,E125,,
95062,7.68,12/26/2018 0:00,Delta,Solivia 7.6 TL,180,9,E100,12/26/2018,E289,7.6,97.5
95063,7.04,12/26/2018 0:00,Delta,Solivia 7.6 TL,180,9,E100,12/26/2018,E289,7.6,97.5
95064,8.32,12/28/2018 0:00,Delta,Solivia 7.6 TL,180,9,E100,12/28/2018,E289,7.6,97.5
95065,7.04,12/28/2018 0:00,Delta,Solivia 7.6 TL,180,9,E100,12/28/2018,E289,7.6,97.5
95066,8.32,12/28/2018 0:00,Delta,Solivia 7.6 TL,180,9,E100,12/28/2018,E289,7.6,97.5
95067,7.04,12/28/2018 0:00,Delta,Solivia 7.6 TL,180,9,E100,12/28/2018,E289,7.6,97.5
95068,7.68,1/7/2019 0:00,Delta,Solivia 7.6 TL,180,9,E100,1/7/2019,E140,7.6,97.5
95178,3.05,1/23/2019 0:00,Fronius,Galvo 3.1-1,180,34,E100,1/23/2019,E140,3.1,95.4
95180,3.05,1/23/2019 0:00,Fronius,Galvo 3.1-1,180,34,E100,1/23/2019,E140,3.1,95.4
95184,5.76,7/27/2018 0:00,Solaredge,SE6000HD-US-U,180,30,E100,7/27/2018,E140,6,97.5
16218B,4.32,4/1/2012 0:00,SMA,SB 3000US,180,20,E400,4/1/2012,E420,3,96.5
16218B,12.6,9/1/2009 0:00,,,180,30,E300,9/1/2009,E420,,
16218D,15.75,5/1/2010 0:00,SMA,Sb 6000us,180,30,E400,5/1/2010,E420,12,95.5
16218G,125,5/21/2010 0:00,Lake St Garage SATCOM,PU-S135,180,10,E200,5/21/2010,E420,,
16218J,1.71,9/4/2018 0:00,Fronius Galvo 1.5,Galvo,180,25,E400,9/4/2018,E420,1.5,94.5
16218L,18.9,6/23/2009 0:00,Sunnyboy (3),7000US,180,35,E300,6/23/2009,E420,21,95.5
16509B,180,11/30/2009 0:00,New Belg Adv. Energy,Soloron 333,180,15,E400,11/30/2009,E422,,
31552B,100,3/8/2019 0:00,PV Powered,PVP-100k-,180,20,E400,3/8/2019,E400,100,
68590A,21.4,1/29/2014 0:00,Powerhouse Aurora (2),PVI-10.0-US,180,15,E300,1/29/2014,E330,20,96
